Current / A,V1  -sample/ uV,time/s
-0.019546,-5.174858,0
-0.018871,-5.243648,0.203
-0.019546,-5.394856,0.249
-0.019624,-5.612126,0.294
-0.019265,-5.885162,0.34
-0.0196,-6.201968,0.386
-0.019642,-6.540268,0.431
-0.019331,-6.88283,0.477
-0.019439,-7.191721,0.523
-0.019481,-7.403723,0.569
-0.019719,-7.492466,0.615
-0.019319,-7.43352,0.661
-0.019504,-7.21856,0.707
-0.004484,-6.873204,0.752
0.03594,-6.494959,0.798
0.0603,-6.147722,0.844
0.163078,-5.456936,0.89
0.193318,-5.38186,1.046
0.222896,-5.357073,1.091
0.47447,-5.372159,1.137
0.506421,-5.667941,1.515
0.536687,-5.546893,1.561
0.567139,-5.483161,1.607
0.59832,-5.48042,1.653
0.627953,-5.402337,1.699
0.658481,-5.318906,1.745
0.689412,-5.28012,1.79
0.719163,-5.296533,1.836
0.750834,-5.342659,1.882
0.780774,-5.396214,1.927
0.893464,-5.692564,1.973
0.924085,-5.933335,2.144
0.955151,-6.109794,2.19
1.066954,-6.101917,2.236
1.096756,-5.329713,2.403
1.126834,-5.177247,2.449
1.156889,-5.069613,2.495
1.188406,-5.013038,2.541
1.219323,-4.997701,2.586
1.250274,-5.028942,2.632
1.280344,-5.084096,2.678
1.310054,-5.171235,2.724
1.34062,-5.238314,2.77
1.371178,-5.304816,2.816
1.401808,-5.387498,2.861
1.433918,-5.485369,2.907
1.464021,-5.563254,2.953
1.493733,-5.59759,2.999
1.524614,-5.634639,3.044
1.628304,-5.634436,3.09
1.658988,-5.692877,3.247
1.690577,-5.766636,3.293
1.798787,-5.851921,3.338
1.829906,-6.080044,3.503
1.861153,-6.119776,3.549
1.892082,-6.126636,3.595
1.923585,-6.119203,3.641
1.953159,-6.104654,3.686
1.982197,-6.097527,3.732
2.013595,-6.095955,3.778
2.043558,-6.091016,3.824
2.074839,-6.079101,3.87
2.105572,-6.059567,3.916
2.136205,-5.999967,3.961
2.166344,-5.871434,4.007
2.196396,-5.754285,4.053
2.226847,-5.737306,4.098
